id,id_str,keyword,created_at,tweet_text,likes,retweeted,hashtags,clean_text_str,clean_text
1311347737431101444,1311347737431101444,projections,Wed Sep 30 16:50:38 +0000 2020,RT @theklaneh: Orain arte proiekziorik zehatzenak egin dituen programak/pertsonak dio hemendik eta azaroaren 1era COVIDaren eraginez 4.234…,0,6,[],: orain arte proiekziorik zehatzenak egin dituen programak/pertsonak dio hemendik eta azaroaren era covidaren eraginez,"[':', 'orain', 'arte', 'proiekziorik', 'zehatzenak', 'egin', 'dituen', 'programak/pertsonak', 'dio', 'hemendik', 'eta', 'azaroaren', 'era', 'covidaren', 'eraginez']"
1311343132647329793,1311343132647329793,projections,Wed Sep 30 16:32:21 +0000 2020,RT @theklaneh: Orain arte proiekziorik zehatzenak egin dituen programak/pertsonak dio hemendik eta azaroaren 1era COVIDaren eraginez 4.234…,0,6,[],: orain arte proiekziorik zehatzenak egin dituen programak/pertsonak dio hemendik eta azaroaren era covidaren eraginez,"[':', 'orain', 'arte', 'proiekziorik', 'zehatzenak', 'egin', 'dituen', 'programak/pertsonak', 'dio', 'hemendik', 'eta', 'azaroaren', 'era', 'covidaren', 'eraginez']"
1311340728149311489,1311340728149311489,projections,Wed Sep 30 16:22:47 +0000 2020,Orain arte proiekziorik zehatzenak egin dituen programak/pertsonak dio hemendik eta azaroaren 1era COVIDaren eragin… https://t.co/s3q7srgxCS,7,6,[],orain arte proiekziorik zehatzenak egin dituen programak/pertsonak dio hemendik eta azaroaren era covidaren eragin,"['orain', 'arte', 'proiekziorik', 'zehatzenak', 'egin', 'dituen', 'programak/pertsonak', 'dio', 'hemendik', 'eta', 'azaroaren', 'era', 'covidaren', 'eragin']"
1312781354539585537,1312781354539585537,world,Sun Oct 04 15:47:19 +0000 2020,"Kultura politika eraldatu dugu: ekitaldien programazioan eta kanpoko eragileetan oinarritutako eredu batetik, campu… https://t.co/ADUPalLHYo",4,0,[],"kultura politika eraldatu dugu: ekitaldien programazioan eta kanpoko eragileetan oinarritutako eredu batetik, campu","['kultura', 'politika', 'eraldatu', 'dugu', ':', 'ekitaldien', 'programazioan', 'eta', 'kanpoko', 'eragileetan', 'oinarritutako', 'eredu', 'batetik', ',', 'campu']"
1312767641799610373,1312767641799610373,world,Sun Oct 04 14:52:50 +0000 2020,@MobilePunch Audio ban,0,0,[],audio ban,"['audio', 'ban']"
1312763697975222272,1312763697975222272,world,Sun Oct 04 14:37:10 +0000 2020,RT @SSugoi666: Buttler berriro agertzen da munduari iruzur bat dela demostratzeko. #QERF #MERF https://t.co/dyNkxrplL8 https://t.co/7Ibv5Px…,0,1,"['#QERF', '#MERF']",: buttler berriro agertzen da munduari iruzur bat dela demostratzeko.,"[':', 'buttler', 'berriro', 'agertzen', 'da', 'munduari', 'iruzur', 'bat', 'dela', 'demostratzeko', '.']"
1312763684838670336,1312763684838670336,world,Sun Oct 04 14:37:07 +0000 2020,@_aish_13_ @Deepak_Sid_ @celebtani @SidNaaz_World_ Sali meko last m dala😡🤒🤒,0,0,[],sali meko last m dala,"['sali', 'meko', 'last', 'dala']"
1312754542002536448,1312754542002536448,world,Sun Oct 04 14:00:47 +0000 2020,No Ego  🌴 Hi Kee https://t.co/cMjtNPNA0H #frombabylontozion #makethepeopleunite #onlythebest #reggae #dancehall… https://t.co/OHhSSgECsw,0,0,"['#frombabylontozion', '#makethepeopleunite', '#onlythebest', '#reggae', '#dancehall…']",no ego hi kee,"['ego', 'hi', 'kee']"
1312753242191941632,1312753242191941632,world,Sun Oct 04 13:55:37 +0000 2020,Buttler berriro agertzen da munduari iruzur bat dela demostratzeko. #QERF #MERF https://t.co/dyNkxrplL8 https://t.co/7Ibv5PxdeF,1,1,"['#QERF', '#MERF']",buttler berriro agertzen da munduari iruzur bat dela demostratzeko.,"['buttler', 'berriro', 'agertzen', 'da', 'munduari', 'iruzur', 'bat', 'dela', 'demostratzeko', '.']"
1312732769055895553,1312732769055895553,world,Sun Oct 04 12:34:16 +0000 2020,@FCA_World @Bundesliga_EN Iago 👏🏼👏🏼👏🏼👏🏼,1,0,[],iago,['iago']
